WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
302,Auki,SB,-8.7676,160.7034,86.23,66,100,4.99,overcast clouds
303,Mehamn,NO,71.0357,27.8492,28.35,86,100,14.97,overcast clouds
304,Gilbues,BR,-9.8317,-45.3439,71.38,90,100,3.89,overcast clouds
305,Leningradskiy,RU,69.3833,178.4167,-8.03,95,100,4.65,overcast clouds
306,Makat,KZ,47.6469,53.3463,36.34,82,100,16.98,overcast clouds
307,Tiksi,RU,71.6872,128.8694,-19.23,97,100,7.9,overcast clouds
308,Xining,CN,36.6167,101.7667,35.26,32,100,2.19,overcast clouds
309,Yunhe,CN,34.0833,119.7167,54.68,61,100,16.49,overcast clouds
310,Mulchen,CL,-37.7167,-72.2333,66.22,46,0,7.36,clear sky
311,Miquelon,PM,47.0975,-56.3814,35.6,72,100,12.44,overcast clouds
312,Broken Hill,AU,-31.95,141.4333,87.58,14,39,20.67,scattered clouds
313,North Bend,US,43.4065,-124.2243,51.24,96,100,14.97,overcast clouds
314,Aksu,CN,41.1231,80.2644,33.51,41,0,3.4,clear sky
315,Opportunity,US,47.6499,-117.2399,40.37,91,100,1.99,light rain
316,Cookeville,US,36.1628,-85.5016,51.78,85,100,5.75,overcast clouds
317,Hasaki,JP,35.7333,140.8333,55.22,69,100,23.55,light rain
318,Quatre Cocos,MU,-20.2078,57.7625,73.09,75,47,11.88,light rain
319,Butaritari,KI,3.0707,172.7902,81.12,73,20,9.17,few clouds
320,Northam,GB,51.0333,-4.2167,49.39,88,100,14.32,overcast clouds
321,Tuy Hoa,VN,13.0833,109.3,78.64,88,99,3.83,overcast clouds
322,Kulhudhuffushi,MV,6.6221,73.07,80.08,66,95,2.1,overcast clouds
323,Hay River,CA,60.8156,-115.7999,17.62,90,100,12.91,overcast clouds
324,Dongsheng,CN,39.8161,109.9776,24.19,32,0,14.58,clear sky
325,Avera,US,33.194,-82.5271,58.51,95,100,0.76,overcast clouds
326,Rocha,UY,-34.4833,-54.3333,60.96,98,26,3.71,scattered clouds
327,Tilichiki,RU,60.4667,166.1,2.75,96,79,6.71,broken clouds
328,Bratsk,RU,56.1325,101.6142,-1.66,94,100,6.82,light snow
329,Berdigestyakh,RU,62.0989,126.6992,-46.01,100,87,0.34,overcast clouds
330,Kuruman,ZA,-27.4524,23.4325,61.99,20,0,6.08,clear sky
331,Garowe,SO,8.4054,48.4845,70.23,82,0,11.34,clear sky
332,Ancud,CL,-41.8697,-73.8203,54.72,92,100,3.56,overcast clouds
333,Kruisfontein,ZA,-34.0033,24.7314,50.88,78,0,6.87,clear sky
334,Manokwari,ID,-0.8667,134.0833,83.17,66,91,3.67,overcast clouds
335,Pischia,RO,45.9031,21.3372,34.74,99,20,3.44,mist
336,Touros,BR,-5.1989,-35.4608,78.46,76,92,11.79,overcast clouds
337,Todos Santos,MX,23.45,-110.2167,74.66,62,0,13.8,clear sky
338,Ishigaki,JP,24.3448,124.1572,76.57,76,93,18.07,overcast clouds
339,Charlestown,AU,-32.95,151.6667,70.86,69,92,7.0,overcast clouds
340,Zabol,AF,32.25,67.25,41.18,25,0,6.02,clear sky
341,Fort Dodge,US,42.4975,-94.168,43.02,52,0,9.22,clear sky
342,Merauke,ID,-8.4667,140.3333,80.19,83,100,12.17,light rain
343,Semnan,IR,35.5729,53.3971,48.94,39,11,2.01,few clouds
344,Stepnogorsk,KZ,52.3544,71.8869,-15.34,99,64,8.48,broken clouds
345,Santiago Del Estero,AR,-27.7951,-64.2615,83.64,22,7,9.78,clear sky
