,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
342,Merauke,ID,80.19,light rain,-8.4667,140.3333,No hotel found
345,Santiago Del Estero,AR,83.64,clear sky,-27.7951,-64.2615,Nuevo Hotel Brístol
348,Ippy,CF,75.09,overcast clouds,6.2679,21.2247,No hotel found
352,Coruripe,BR,78.03,light rain,-10.1256,-36.1756,No hotel found
357,West Bay,KY,82.47,few clouds,19.3667,-81.4167,Bonnie's Arch
358,Lufilufi,WS,81.45,clear sky,-13.8745,-171.5986,No hotel found
359,Yeppoon,AU,85.78,clear sky,-23.1333,150.7333,Blossom's on Seaspray
360,Brazzaville,CG,72.79,light rain,-4.2658,15.2832,BLISS HOTEL
364,Kattivakkam,IN,77.09,overcast clouds,13.2167,80.3167,No hotel found
369,Denpasar,ID,82.06,few clouds,-8.65,115.2167,Hotel Candra Adiguna
372,Bentiu,SS,72.95,clear sky,9.2333,29.8333,No hotel found
375,Waingapu,ID,84.94,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
376,Mogadishu,SO,78.89,overcast clouds,2.0371,45.3438,SYL Hotel
379,Marawi,PH,77.5,broken clouds,7.9986,124.2928,Marawi Resort Hotel
385,San Policarpo,PH,82.85,broken clouds,12.1791,125.5072,No hotel found
389,Kainantu,PG,76.26,overcast clouds,-6.2887,145.8655,Kainantu Lodge
391,Namatanai,PG,85.8,broken clouds,-3.6667,152.4333,Namatanai Hotel
392,Tay Ninh,VN,78.78,scattered clouds,11.3,106.1,Nhà khách Hoa Hồng
400,Mtambile,TZ,76.89,light rain,-5.3833,39.7,No hotel found
401,Gaoua,BF,71.94,clear sky,10.2992,-3.2508,No hotel found
404,Nha Trang,VN,75.2,light rain,12.25,109.1833,Den Long Đỗ
406,Morant Bay,JM,78.89,few clouds,17.8815,-76.4093,Morant Villas
407,Vao,NC,72.57,broken clouds,-22.6667,167.4833,Nataiwatch
408,Quebo,GW,73.18,overcast clouds,11.3333,-14.9333,No hotel found
409,Santa Cruz,BO,78.26,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
410,Cockburn Town,TC,78.76,few clouds,21.4612,-71.1419,The Salt Raker Inn
412,Les Cayes,HT,76.6,clear sky,18.2,-73.75,No hotel found
416,Coahuayana,MX,75.15,light rain,18.7333,-103.6833,No hotel found
420,Piacabucu,BR,78.62,moderate rain,-10.4056,-36.4344,O Leão
427,Limbang,MY,80.71,scattered clouds,4.75,115.0,Comfort Hotel
428,Matadi,CD,75.72,light rain,-5.8167,13.45,Hôtel Métroplole
433,The Valley,AI,80.1,clear sky,18.217,-63.0578,CeBlue
435,Manta,EC,73.18,overcast clouds,-0.95,-80.7333,La Gaviota
436,Kokopo,PG,85.24,broken clouds,-4.352,152.2633,Hotel Kokopo
438,Pochutla,MX,80.42,clear sky,15.7432,-96.4661,Hotel El Patio
439,Beloha,MG,72.7,clear sky,-25.1667,45.05,No hotel found
440,Kollam,IN,76.06,broken clouds,8.8833,76.6,Sea Palace
441,Mahe,IN,74.05,overcast clouds,11.7,75.5333,French Avenue
443,Sabang,ID,81.55,overcast clouds,5.8933,95.3214,Sabang Hill
444,Aitape,PG,86.56,scattered clouds,-3.1374,142.3475,No hotel found
447,Sao Filipe,CV,75.4,clear sky,14.8961,-24.4956,Bela Vista
452,Maragogi,BR,77.85,overcast clouds,-9.0122,-35.2225,Pousada Mariluz
453,Senador Jose Porfirio,BR,75.16,broken clouds,-2.5908,-51.9542,No hotel found
454,Boyuibe,BO,71.8,scattered clouds,-20.4167,-63.2833,No hotel found
456,Suba,PH,83.12,overcast clouds,10.8438,121.0102,Jade Felimar Value Inn
458,Mundo Nuevo,MX,76.73,few clouds,18.7,-95.5,No hotel found
459,Catamarca,AR,86.07,overcast clouds,-28.4696,-65.7852,Hotel de Turismo
